com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
01027,1,2,1,1,4.0
01032,2,2,3,0,3.5
01053,3,6,4,5,3.0
01090,1,2,3,1,3.0
01093,1,2,1,1,3.0
01134,1,3,2,2,4.0
01143,1,1,1,1,3.0
01151,1,3,3,0,4.0
01189,1,1,1,0,2.0
01249,2,4,2,2,3.5
01262,1,2,2,0,4.0
01263,1,2,1,1,4.0
01274,1,2,1,1,3.0
01275,1,1,0,1,4.0
01281,1,2,2,0,3.0
01289,1,1,1,1,4.0
01354,1,2,0,2,3.0
01373,1,2,2,1,4.0
01416,1,1,2,0,2.0
02014,1,2,2,0,4.0
02060,1,1,2,0,4.0
02173,1,2,1,1,3.0
02304,1,1,0,1,4.0
02306,1,1,1,0,3.0
02349,1,2,2,0,4.0
02381,1,1,2,0,4.0
02408,1,2,1,1,3.0
02648,1,2,2,0,3.0
02722,1,1,3,0,4.0
02759,1,1,1,0,4.0
03013,1,1,0,1,2.0
03018,1,1,0,1,4.0
03063,1,2,3,1,3.0
03080,1,2,1,3,4.0
03082,1,2,1,1,3.0
03095,1,1,1,0,3.0
03118,1,2,2,1,4.0
03128,1,2,2,0,3.0
03138,1,2,3,1,4.0
03156,1,2,2,0,4.0
03200,1,1,1,0,3.0
03265,1,1,1,0,2.0
03286,2,2,1,2,4.0
03287,1,1,0,1,4.0
03310,2,3,3,1,3.0
04001,1,1,1,0,2.0
04070,2,3,2,2,4.0
04112,3,4,3,3,4.0
04122,1,1,1,0,3.0
04124,1,1,1,0,4.0
04176,1,2,2,0,4.0
04231,1,1,2,0,3.0
05017,2,4,3,5,4.0
05029,1,2,3,1,4.0
05044,1,1,1,0,3.0
05054,1,2,2,3,4.0
05056,1,2,3,0,4.0
05061,6,7,3,10,3.67
05079,1,2,1,1,4.0
05111,1,2,1,1,4.0
05156,1,1,0,1,4.0
06004,1,2,2,0,4.0
06012,1,2,1,1,3.0
06018,2,2,1,1,4.0
06029,2,4,3,1,3.5
06030,3,4,4,2,4.0
06032,1,2,2,0,3.0
06033,1,1,1,1,4.0
06044,1,1,1,1,3.0
06064,1,2,2,0,3.0
06069,5,8,6,4,4.0
06079,2,4,2,2,3.0
06085,1,1,0,2,3.0
06088,11,22,20,6,3.18
06094,1,1,1,1,3.0
06103,1,1,2,0,3.0
06104,2,2,2,0,4.0
06113,1,2,1,2,4.0
06123,3,5,3,3,3.33
06148,1,2,1,4,4.0
06157,1,1,2,0,4.0
06159,1,1,1,0,2.0
06161,2,3,3,1,3.5
07019,2,2,2,0,3.0
07069,1,2,2,0,3.0
07076,1,1,2,0,3.0
07102,3,4,2,4,3.67
07157,1,1,1,0,4.0
07172,1,2,1,2,4.0
07183,1,1,1,1,4.0
07193,1,2,2,0,3.0
07281,1,1,1,0,4.0
07295,1,1,0,1,4.0
07303,1,1,2,0,4.0
07308,1,2,2,0,4.0
07316,1,1,1,1,4.0
07337,1,1,3,0,4.0
07348,1,2,1,1,4.0
08022,1,1,1,1,4.0
08086,1,1,2,0,3.0
08092,1,1,1,0,4.0
08105,1,1,2,0,3.0
08222,1,1,2,0,3.0
08338,1,1,1,0,4.0
08362,1,1,2,0,3.0
08363,1,1,3,1,3.0
08391,1,2,2,0,3.0
08402,1,2,1,2,4.0
08409,1,1,1,1,3.0
08435,2,3,4,2,4.0
08490,1,1,1,2,3.0
08499,1,1,1,0,2.0
09085,1,2,1,1,3.0
09108,1,1,0,1,3.0
09122,2,4,2,5,4.0
09189,1,2,2,3,4.0
09318,1,3,5,4,3.0
09332,1,1,3,1,3.0
10048,1,1,1,1,3.0
10060,2,4,1,3,4.0
10081,3,4,3,2,4.0
10112,1,1,1,0,3.0
10191,1,2,1,1,4.0
10255,1,1,1,0,3.0
10263,1,2,1,2,4.0
10325,1,2,1,1,4.0
10328,1,1,1,0,3.0
10333,1,1,2,0,3.0
10343,1,2,1,2,4.0
10362,1,1,1,0,3.0
10381,1,2,2,1,4.0
10387,3,5,4,2,4.0
11069,8,12,14,5,3.88
11111,1,2,1,0,3.0
11145,1,4,4,0,4.0
11172,1,2,2,0,4.0
11209,1,1,0,1,3.0
11255,1,2,4,0,3.0
11262,2,3,0,3,4.0
11270,1,1,1,0,3.0
11293,1,2,1,1,3.0
11307,1,2,1,1,3.0
11351,1,2,1,1,3.0
11357,1,1,1,0,3.0
11429,1,1,1,0,3.0
11434,1,2,3,0,3.0
12013,3,4,4,1,3.67
12022,1,1,1,1,3.0
12052,1,2,2,0,3.0
12089,1,1,1,0,3.0
12107,1,2,2,0,3.0
12145,2,4,2,2,3.5
12176,1,2,1,1,3.0
12208,1,2,0,2,3.0
12243,1,1,1,0,2.0
12300,1,2,1,1,3.0
13055,156,276,258,114,3.72
14059,1,1,1,0,2.0
14066,1,2,1,2,4.0
14076,1,1,1,0,3.0
14118,8,12,13,2,3.62
14166,1,1,0,2,3.0
14191,1,3,2,1,4.0
14193,1,2,2,0,4.0
14194,1,1,2,1,4.0
14228,1,2,1,1,4.0
14258,1,2,2,0,3.0
14270,1,1,0,1,4.0
14271,2,2,3,0,4.0
14303,1,2,1,0,4.0
14322,1,2,1,1,4.0
14326,2,4,4,0,4.0
14366,2,3,3,1,3.5
14454,1,2,2,0,3.0
14534,1,2,3,0,4.0
14630,1,1,1,0,4.0
15014,3,4,2,5,3.67
15038,1,2,3,1,4.0
15087,1,1,1,0,4.0
15127,1,2,2,0,4.0
15265,1,1,2,0,4.0
16015,1,1,2,0,2.0
16023,1,1,1,0,4.0
16070,1,2,2,0,3.0
16102,1,1,3,0,3.0
16276,1,2,4,1,3.0
16358,1,1,1,0,2.0
16419,1,1,1,0,2.0
17008,2,4,3,1,3.0
17028,1,3,3,1,4.0
17056,1,2,1,1,4.0
17064,1,2,1,1,3.0
17131,1,2,2,1,4.0
17168,1,2,5,1,4.0
17274,1,2,2,0,4.0
17291,1,3,2,1,4.0
17300,3,5,7,2,4.0
17306,2,3,1,3,4.0
17315,1,2,1,1,3.0
17327,1,1,2,2,4.0
17365,1,2,2,1,4.0
17380,1,2,2,0,3.0
17387,1,2,1,0,4.0
17415,2,4,3,1,4.0
17421,1,1,1,0,2.0
18033,3,5,6,1,4.0
18057,1,3,5,0,3.0
18117,1,1,1,0,3.0
18124,1,2,2,1,4.0
18135,2,3,3,1,2.5
18176,1,1,1,0,2.0
18204,1,1,1,0,3.0
18207,1,1,2,0,4.0
18211,1,1,1,0,2.0
18279,2,3,7,3,4.0
19031,6,11,9,4,3.83
19038,1,2,2,0,3.0
19073,1,1,1,0,4.0
19176,2,2,2,1,3.5
19237,1,1,1,0,4.0
19248,1,2,2,0,3.0
19269,1,1,2,0,3.0
19272,2,2,2,1,3.0
19275,2,5,5,1,3.5
21138,2,4,4,1,4.0
21263,1,2,4,1,4.0
21347,1,3,3,0,4.0
21355,1,2,1,1,4.0
21373,1,1,2,1,4.0
21390,1,2,2,0,4.0
21405,1,1,1,0,3.0
21515,1,1,1,1,3.0
21540,1,1,1,1,3.0
21579,1,2,2,1,4.0
21590,1,1,3,1,3.0
22004,1,3,4,5,4.0
22030,1,1,1,0,3.0
22077,1,2,1,1,4.0
22079,1,2,2,0,3.0
22086,1,2,1,1,4.0
22113,4,5,2,6,3.5
22136,1,2,1,1,4.0
22162,1,2,3,1,4.0
22187,6,8,6,5,3.83
22193,1,1,1,0,3.0
22203,1,1,1,0,3.0
22215,1,2,1,1,4.0
22242,1,2,2,0,4.0
22250,1,1,2,0,3.0
22251,1,2,1,1,3.0
22256,1,2,5,2,3.0
22272,2,2,2,1,3.0
22278,6,9,9,1,3.33
22364,1,1,1,0,3.0
23096,2,3,3,0,3.5
23235,1,1,1,0,3.0
24026,1,1,1,2,4.0
24037,1,2,2,1,4.0
24068,1,2,1,1,2.0
24129,1,1,1,0,3.0
24194,1,2,0,2,3.0
24197,1,1,2,0,4.0
24214,1,1,2,0,3.0
24216,1,2,2,1,4.0
24223,1,1,1,1,4.0
24266,1,1,1,1,4.0
24274,1,2,2,0,3.0
24322,1,2,2,0,3.0
24356,1,1,0,2,3.0
24361,1,2,3,1,3.0
24364,1,1,2,1,3.0
24449,1,2,1,1,4.0
24463,1,1,1,0,3.0
24557,1,1,0,2,3.0
24564,1,2,2,0,3.0
25056,7,12,6,7,3.86
25132,1,1,2,0,2.0
25220,1,3,1,2,4.0
25321,1,2,2,0,4.0
25388,1,2,1,2,4.0
25403,1,2,2,0,3.0
25445,1,2,3,3,4.0
25462,5,9,5,7,3.6
25467,1,2,2,0,3.0
25510,1,2,1,1,3.0
25515,1,1,1,0,3.0
25519,1,3,5,2,4.0
25539,1,2,1,3,4.0
25547,2,3,3,1,3.5
26057,1,1,1,0,2.0
26064,1,1,0,1,3.0
26071,1,1,1,0,3.0
26083,1,2,1,1,3.0
26116,1,2,1,1,4.0
26124,1,3,3,2,4.0
26160,1,2,2,0,4.0
26165,1,2,2,0,4.0
26166,1,2,4,1,3.0
26168,1,2,2,0,4.0
26170,1,2,1,1,3.0
26179,1,2,1,1,4.0
26198,3,4,2,3,4.0
26211,1,2,2,1,3.0
26229,1,1,1,1,3.0
26295,1,2,2,0,3.0
26305,1,1,1,0,4.0
26338,1,2,1,1,3.0
26339,1,4,6,3,4.0
26362,2,3,3,1,3.0
27011,1,3,3,1,3.0
27022,1,2,1,3,3.0
27045,1,1,1,0,3.0
27070,1,2,3,0,2.0
27102,1,2,1,1,4.0
27125,1,1,1,0,3.0
27198,2,3,1,2,3.5
27229,6,10,5,7,4.0
27230,1,1,0,1,3.0
27249,1,3,1,3,4.0
27288,1,1,1,0,3.0
27299,1,2,1,2,4.0
27360,1,1,1,0,3.0
27375,1,2,1,1,4.0
27439,1,2,2,0,3.0
27507,1,2,2,2,4.0
27528,1,4,2,2,4.0
27676,1,1,1,0,4.0
27681,3,4,4,2,4.0
27701,1,2,1,1,4.0
28015,1,1,1,0,3.0
28018,1,1,1,0,4.0
28033,1,1,5,0,4.0
28085,2,4,4,0,3.5
28088,1,1,2,0,2.0
28134,5,8,6,4,4.0
28147,1,2,2,1,3.0
28176,1,2,2,2,3.0
28199,1,1,0,3,4.0
28229,1,1,1,1,3.0
28279,1,1,0,1,3.0
28363,1,2,3,0,3.0
28404,1,2,1,1,4.0
29017,1,1,0,2,4.0
29019,7,12,7,7,4.0
29020,3,5,6,0,3.67
29022,1,1,1,0,3.0
