com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
17448,1,2,5,1,4.0
17466,1,2,2,1,4.0
17483,1,1,1,0,2.0
18033,1,2,4,1,4.0
18073,1,1,2,0,4.0
18082,1,1,2,1,4.0
18118,1,3,2,2,4.0
18126,1,2,1,1,2.0
18151,1,1,1,0,4.0
18205,1,2,1,1,4.0
18223,1,2,2,0,3.0
18233,1,1,1,0,2.0
18257,1,2,0,2,2.0
18270,1,2,2,1,4.0
18279,2,4,4,1,3.5
19010,1,1,1,0,3.0
19031,3,6,4,2,4.0
19055,1,1,0,1,3.0
19063,1,2,2,0,3.0
19101,1,1,2,0,4.0
19110,1,1,1,0,2.0
19129,1,2,1,1,4.0
19178,1,2,2,1,4.0
19229,1,2,6,3,4.0
19272,1,2,1,1,4.0
19275,2,3,1,5,4.0
21054,3,5,2,4,4.0
21214,1,3,7,6,4.0
21223,1,1,1,0,3.0
21231,1,1,1,0,3.0
21261,1,1,1,1,4.0
21371,1,1,3,0,4.0
21423,1,2,4,2,4.0
21479,1,2,2,0,2.0
21576,1,1,1,0,2.0
21617,1,1,2,0,2.0
21637,1,1,1,0,4.0
21638,1,1,1,1,4.0
21684,1,1,1,0,4.0
22014,1,2,1,1,3.0
22030,1,1,2,3,3.0
22034,1,1,1,0,4.0
22035,1,2,2,2,3.0
22040,1,2,2,1,3.0
22067,1,1,1,0,3.0
22070,1,2,1,2,4.0
22106,1,2,2,0,4.0
22113,2,4,5,1,4.0
22132,1,2,4,0,4.0
22147,1,2,2,0,3.0
22158,2,3,3,1,3.0
22174,1,2,1,2,4.0
22176,2,4,2,2,3.5
22180,1,2,1,2,4.0
22187,1,2,0,2,4.0
22190,1,1,1,0,2.0
22206,1,2,2,0,4.0
22210,1,1,1,1,3.0
22239,1,1,1,0,3.0
22246,1,6,2,6,4.0
22278,4,8,5,4,3.75
22328,1,1,1,0,3.0
22366,1,1,0,2,3.0
23013,1,1,1,0,3.0
23141,1,1,1,1,2.0
