com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes
01005,1,2,0,0
01027,1,2,0,0
01031,2,5,0,0
01032,1,1,0,0
01033,1,2,0,0
01043,1,2,0,0
01053,5,10,0,0
01056,1,2,0,0
01062,1,1,0,0
01074,1,1,0,0
01093,1,2,0,0
01134,1,2,0,0
01151,1,2,0,0
01185,1,1,0,0
01202,1,2,0,0
01229,1,1,0,0
01232,2,5,0,0
01249,1,2,0,0
01258,1,2,0,0
01265,1,1,0,0
01283,2,3,0,0
01288,1,1,0,0
01290,1,1,0,0
01301,1,1,0,0
01329,1,3,0,0
01333,1,2,0,0
01350,1,4,0,0
01451,1,4,0,0
02023,1,2,0,0
02042,1,2,0,0
02168,1,1,0,0
02173,1,2,0,0
02185,1,2,0,0
02186,1,1,0,0
02328,1,2,0,0
02340,1,2,0,0
02360,1,1,0,0
02397,1,1,0,0
02408,1,1,0,0
02506,1,1,0,0
02520,1,2,0,0
02608,1,1,0,0
02684,1,1,0,0
02691,1,1,0,0
02697,1,1,0,0
02722,1,1,0,0
02738,1,2,0,0
02780,1,2,0,0
02809,1,2,0,0
02810,1,2,0,0
03060,1,1,0,0
03062,1,2,0,0
03073,1,2,0,0
03101,1,2,0,0
03102,1,1,0,0
03138,1,1,0,0
03185,2,3,0,0
03193,1,1,0,0
03217,1,1,0,0
03224,1,1,0,0
03225,1,1,0,0
03254,1,2,0,0
03279,1,1,0,0
03283,1,2,0,0
03308,1,2,0,0
03321,2,3,0,0
04031,1,1,0,0
04049,2,3,0,0
04063,2,2,0,0
04070,2,3,0,0
04106,1,2,0,0
04112,8,13,0,0
04116,1,1,0,0
04121,1,1,0,0
04158,1,2,0,0
04187,1,1,0,0
04230,2,3,0,0
04245,1,2,0,0
05011,1,2,0,0
05023,1,1,0,0
05061,6,7,0,0
05084,1,3,0,0
05124,1,2,0,0
05161,1,1,0,0
05173,1,1,0,0
05178,1,2,0,0
06004,3,6,0,0
06018,1,1,0,0
06027,6,10,0,0
06029,4,7,0,0
06032,1,2,0,0
06044,2,2,0,0
06069,11,20,0,0
