com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
01004,1,2,2,0,2.0
01025,1,1,1,0,3.0
01043,1,2,1,1,4.0
01053,5,6,10,4,3.8
01075,1,2,1,1,4.0
01105,1,1,1,2,4.0
01109,1,2,2,1,3.0
01183,1,1,1,1,4.0
01235,1,2,2,0,3.0
01240,1,2,2,0,3.0
01249,1,2,3,0,4.0
01254,1,2,0,2,3.0
01262,1,1,0,2,4.0
01288,1,2,2,0,2.0
01305,1,2,1,1,3.0
01320,1,2,2,0,3.0
01325,1,3,1,2,4.0
01331,1,2,2,0,4.0
01347,1,2,2,0,4.0
01386,2,4,3,1,3.5
01390,1,4,3,2,4.0
01398,1,1,2,0,4.0
01405,1,2,1,1,3.0
01424,1,2,2,0,4.0
01427,1,1,1,1,2.0
01431,1,1,1,0,3.0
01452,1,1,1,0,4.0
02082,1,2,3,1,4.0
02133,1,2,1,1,3.0
02140,1,2,1,1,4.0
02168,1,1,2,0,4.0
02211,1,2,3,0,3.0
02212,1,2,1,1,4.0
02243,1,2,2,0,3.0
02280,1,1,1,0,3.0
02284,1,1,1,1,3.0
02360,1,1,2,0,3.0
02408,1,1,0,1,4.0
02596,1,1,0,1,4.0
02687,1,1,0,1,4.0
02722,3,3,5,1,3.67
02780,1,3,3,0,3.0
02781,1,1,1,0,2.0
02807,1,1,0,1,4.0
02810,2,3,3,1,4.0
02820,1,2,2,0,4.0
02822,1,2,1,1,4.0
03016,1,1,1,0,3.0
03031,1,1,2,0,2.0
03038,1,2,1,1,4.0
03040,1,2,2,0,4.0
03043,1,1,1,1,4.0
03101,1,1,0,2,3.0
03108,1,1,0,2,4.0
03125,1,2,3,0,3.0
03155,1,2,1,1,3.0
03170,1,1,2,0,4.0
03185,2,2,2,3,3.5
03190,1,2,2,0,4.0
03200,1,1,1,0,2.0
03217,1,1,1,0,4.0
03254,1,1,1,0,4.0
03257,1,1,2,0,2.0
03265,1,2,3,0,4.0
03319,1,1,0,1,3.0
03320,1,1,1,0,3.0
03321,2,3,2,2,4.0
04024,1,1,0,1,3.0
04070,8,12,9,4,3.38
04088,1,1,2,0,3.0
04092,1,2,2,0,2.0
04112,5,9,6,5,4.0
04152,1,1,1,1,3.0
05046,1,1,1,1,4.0
05061,7,13,9,10,4.0
05095,1,1,1,2,4.0
05156,1,1,1,0,2.0
05167,1,2,2,0,4.0
06004,3,4,4,2,3.33
06018,1,2,2,2,4.0
06027,5,11,13,1,4.0
06029,4,8,8,4,3.75
06030,2,4,4,3,4.0
06032,2,2,3,2,3.0
06038,1,2,2,1,3.0
06039,1,2,1,0,4.0
06057,1,2,2,2,4.0
06064,1,2,2,0,3.0
06069,10,19,13,8,4.0
06071,1,1,1,0,3.0
06073,3,3,1,3,3.33
06079,2,4,2,2,4.0
06083,1,1,1,0,3.0
06085,2,3,4,3,3.5
06088,11,21,16,17,3.0
06095,1,2,1,1,3.0
06101,1,2,0,2,4.0
06104,2,4,5,2,3.5
06114,1,1,0,2,3.0
06123,4,7,9,2,3.5
06130,1,2,2,0,3.0
06134,1,2,2,0,3.0
06138,1,1,0,1,3.0
06149,2,4,5,0,4.0
06151,1,1,0,1,4.0
06152,1,1,2,0,3.0
06155,1,1,1,1,3.0
06157,1,1,2,1,4.0
06161,3,6,5,2,3.0
07010,1,1,1,1,4.0
07011,1,1,1,0,4.0
07019,1,2,1,1,3.0
07029,1,2,2,0,4.0
07052,1,1,1,0,3.0
07102,1,2,1,1,4.0
07140,1,2,2,0,4.0
07142,1,2,1,1,4.0
07155,1,2,2,1,3.0
07166,1,1,1,1,3.0
07167,1,2,1,1,3.0
07169,1,2,2,0,4.0
07227,1,1,1,1,4.0
07234,1,2,1,1,4.0
07240,1,1,3,0,3.0
07245,2,4,4,0,4.0
07264,2,2,2,1,3.5
07268,1,1,1,0,3.0
07281,3,5,6,1,4.0
07291,1,1,2,0,3.0
07329,1,1,1,0,3.0
07348,1,2,2,1,3.0
08081,1,1,1,0,2.0
08105,2,3,2,1,4.0
08226,1,2,2,1,3.0
08320,1,3,3,1,4.0
08490,2,4,3,1,3.5
09103,1,1,1,0,3.0
09121,1,1,1,1,4.0
09122,3,3,3,2,3.67
09207,1,1,2,0,4.0
09220,1,1,2,0,4.0
09225,4,5,6,4,4.0
09296,1,2,2,0,4.0
09324,1,2,2,0,4.0
10034,1,2,2,0,4.0
10045,1,2,4,0,3.0
10081,3,6,3,2,4.0
10162,1,1,1,0,3.0
10300,1,2,1,2,3.0
10323,2,2,1,3,3.0
10325,4,8,6,2,3.25
10333,3,5,3,3,4.0
10343,3,5,4,2,4.0
10355,1,1,1,0,3.0
10357,1,2,5,0,4.0
10362,1,2,2,0,4.0
10373,1,2,2,0,4.0
10387,14,25,22,11,3.86
10391,1,1,1,1,2.0
10401,1,2,1,2,2.0
10412,1,1,2,2,4.0
11012,1,2,2,0,3.0
11069,11,15,14,8,3.82
11076,1,1,2,0,3.0
11105,2,3,0,3,2.5
11106,1,2,2,0,3.0
11170,1,1,2,0,3.0
11184,1,1,1,0,3.0
11195,1,2,0,2,3.0
11203,1,2,1,1,3.0
11206,2,3,4,0,3.5
11221,1,1,1,0,3.0
11262,3,6,6,2,3.67
11306,1,1,1,0,4.0
11322,1,4,4,0,3.0
11357,1,1,1,0,3.0
11367,1,2,1,1,4.0
11397,1,2,3,2,3.0
11426,1,1,1,0,3.0
12013,1,1,1,0,4.0
12047,1,2,2,0,4.0
12049,1,1,1,0,2.0
12069,1,2,2,0,3.0
12090,1,1,0,1,3.0
12105,1,1,1,1,3.0
12127,1,2,2,1,4.0
12139,1,1,1,0,3.0
12145,3,4,5,2,3.33
12148,1,1,4,0,3.0
12157,1,2,2,1,2.0
12188,1,2,3,0,4.0
12202,1,1,2,0,3.0
12210,1,2,2,1,3.0
12270,1,2,2,0,4.0
13055,210,380,342,156,3.62
14027,1,2,2,4,3.0
14040,1,2,0,2,4.0
14057,2,4,4,0,3.5
14069,1,1,0,1,4.0
14076,1,1,4,0,4.0
14098,2,4,4,0,4.0
14118,3,4,3,2,3.67
14119,1,2,2,0,3.0
14161,1,2,2,0,4.0
14207,1,1,1,0,4.0
14220,1,1,2,0,4.0
14226,1,1,1,0,3.0
14228,1,2,2,1,4.0
14229,1,1,1,0,4.0
14242,1,2,1,1,3.0
14271,1,2,1,1,4.0
14288,1,1,1,0,3.0
14325,1,2,0,2,3.0
14327,1,2,2,0,4.0
14341,1,2,2,0,4.0
14342,1,2,2,1,4.0
14366,1,2,2,0,3.0
14410,1,1,1,1,4.0
14431,3,5,5,1,3.33
14475,1,2,1,1,3.0
14487,1,1,4,1,3.0
14488,2,3,4,0,4.0
14542,1,1,1,1,4.0
14555,1,2,2,0,2.0
14563,1,1,1,0,3.0
14570,1,2,3,0,4.0
14623,1,2,1,1,3.0
14630,1,2,1,1,3.0
14701,1,2,3,2,4.0
14715,1,1,1,2,4.0
14747,1,2,2,0,2.0
14761,1,2,2,0,4.0
14762,1,1,0,2,4.0
15012,3,4,3,2,4.0
15014,12,19,11,11,3.83
15028,1,2,1,1,4.0
15130,1,2,2,0,2.0
15141,1,1,1,1,4.0
15192,1,3,1,2,4.0
15223,1,1,0,2,3.0
15261,1,2,2,0,3.0
15262,1,2,4,2,4.0
15265,1,2,3,0,4.0
16015,1,1,0,1,4.0
16061,1,1,1,0,2.0
16102,1,2,2,0,3.0
16216,1,1,1,1,2.0
16251,1,1,0,1,3.0
16286,1,2,2,0,4.0
16374,1,1,0,1,4.0
16388,1,2,2,0,3.0
17003,1,2,1,1,3.0
17028,2,3,3,0,3.5
17044,1,2,2,1,3.0
17083,1,1,1,0,3.0
17094,1,2,1,1,3.0
17107,1,1,1,0,4.0
17113,1,2,1,1,4.0
17164,1,2,2,0,3.0
17219,1,2,1,1,3.0
17262,1,2,2,2,4.0
17264,1,1,1,1,4.0
17267,1,2,1,1,3.0
17291,3,6,3,5,4.0
17292,1,2,2,0,2.0
17300,3,6,4,3,4.0
17306,4,7,6,6,3.5
17323,1,1,1,1,3.0
17333,1,2,1,2,4.0
17340,1,2,2,0,4.0
17396,1,2,2,0,4.0
17400,1,2,1,1,4.0
17413,1,2,2,0,4.0
17415,6,9,6,7,3.83
17449,1,1,2,0,3.0
17466,1,1,1,0,3.0
17483,1,2,1,1,3.0
18017,1,2,2,1,4.0
18033,2,4,4,0,4.0
18037,1,1,1,0,3.0
18081,1,2,9,9,3.0
18180,1,1,1,1,2.0
18197,1,1,2,0,2.0
18242,1,1,1,0,2.0
18279,4,6,7,1,4.0
19013,1,2,1,1,3.0
19031,8,13,13,5,4.0
19085,1,2,2,0,3.0
19094,1,2,2,0,3.0
19098,2,4,3,2,3.0
19101,1,1,0,1,4.0
19146,1,2,2,0,2.0
19176,2,2,1,2,3.0
19207,1,2,1,1,4.0
19229,1,1,1,0,3.0
19248,1,2,2,0,4.0
19272,3,3,1,2,4.0
19273,1,2,1,1,3.0
19274,2,3,3,1,3.5
19285,2,2,1,1,3.0
