com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
01004,1,2,1,1,4.0
01031,2,4,5,3,4.0
01043,1,2,2,0,4.0
01054,1,1,2,0,4.0
01075,1,2,2,0,3.0
01142,1,2,1,1,3.0
01153,1,2,2,2,3.0
01175,1,2,1,2,3.0
01203,1,3,1,2,4.0
01211,1,1,2,1,4.0
01228,1,1,0,1,4.0
01245,1,1,1,0,2.0
01249,1,2,0,1,4.0
01262,2,4,2,2,4.0
01263,1,2,0,2,4.0
01289,2,3,4,0,3.5
01297,1,2,1,1,4.0
01313,1,2,2,1,4.0
01383,1,2,2,0,4.0
01418,1,2,2,0,4.0
01426,1,2,0,2,4.0
01445,1,2,2,1,4.0
02009,1,1,0,3,4.0
02059,1,2,1,1,4.0
02095,1,1,1,1,3.0
02111,1,1,2,0,3.0
02173,1,2,1,1,3.0
02180,1,2,2,0,3.0
02250,1,2,2,0,3.0
02381,1,1,1,1,3.0
02468,1,1,2,0,4.0
02505,1,1,1,0,3.0
02521,1,2,2,3,4.0
02540,1,2,2,0,4.0
02543,1,1,1,0,4.0
02639,1,2,1,1,3.0
02643,1,1,1,0,2.0
02684,1,1,1,0,4.0
02738,2,3,3,3,4.0
02798,1,1,3,3,4.0
02810,2,2,2,2,3.0
03023,1,2,2,0,3.0
03119,1,2,2,0,3.0
03138,1,2,2,2,4.0
03170,1,1,0,3,4.0
03185,4,6,4,3,4.0
03193,1,2,2,0,3.0
03194,1,2,1,1,2.0
03214,1,1,0,1,3.0
03257,1,1,1,0,4.0
03286,1,2,5,23,4.0
03290,1,1,1,0,4.0
03305,1,1,2,0,4.0
03310,1,1,2,0,3.0
03316,1,2,1,1,4.0
04070,2,2,3,1,3.5
04088,1,1,1,0,2.0
04094,1,2,1,1,4.0
04112,3,5,3,3,4.0
04116,1,1,1,1,3.0
04157,1,1,1,0,3.0
04197,1,1,0,1,3.0
04245,1,1,1,2,3.0
05011,1,1,2,2,4.0
05023,1,2,1,1,4.0
05040,1,2,1,0,4.0
05061,11,21,17,13,3.82
05093,1,1,1,1,4.0
05132,1,1,3,0,3.0
06004,4,6,3,5,3.0
06007,1,2,2,0,4.0
06012,2,3,3,0,3.5
06018,1,1,0,2,4.0
06023,2,2,3,0,3.5
06027,3,4,4,4,4.0
06029,2,3,1,3,4.0
06030,3,5,5,2,4.0
06038,1,2,3,1,4.0
06048,1,1,1,0,2.0
06059,1,2,2,0,3.0
06069,14,27,21,11,4.0
06078,1,3,2,1,2.0
06079,1,1,1,0,3.0
06083,1,1,1,0,3.0
06085,4,11,9,3,3.75
06088,15,24,21,8,3.6
06090,1,1,2,0,4.0
06112,1,1,1,0,3.0
06123,1,2,2,0,4.0
06138,1,2,1,1,3.0
06149,1,1,1,1,4.0
06152,1,2,1,1,3.0
06155,1,2,2,0,4.0
06159,1,2,2,1,4.0
06161,4,9,7,4,4.0
07007,1,3,4,2,4.0
07008,1,1,1,0,4.0
07040,1,1,1,2,4.0
07059,1,1,1,0,4.0
07090,1,2,0,2,3.0
07102,3,4,4,1,3.67
07143,1,2,2,0,3.0
07157,3,3,4,0,3.0
07186,1,1,0,2,4.0
07245,1,1,1,1,4.0
07281,1,2,2,0,3.0
07288,2,4,3,3,4.0
07299,1,1,1,0,3.0
07308,1,2,1,2,4.0
07313,1,1,1,1,3.0
07316,1,3,0,3,4.0
07317,1,2,0,3,4.0
07319,1,2,1,1,4.0
07324,1,1,2,1,4.0
07334,1,1,1,0,2.0
07338,1,1,1,0,2.0
07349,1,2,2,0,4.0
08164,1,1,0,1,2.0
08185,1,1,1,0,3.0
08302,1,2,2,0,3.0
08339,1,1,1,0,2.0
08383,1,1,1,0,3.0
09122,2,2,4,0,3.5
09210,1,1,1,0,2.0
09214,1,2,2,0,4.0
09225,2,4,3,1,4.0
09268,1,1,2,0,3.0
10045,1,2,2,1,3.0
10060,2,5,4,1,3.5
10064,1,2,2,0,4.0
10081,3,5,7,3,3.67
10254,1,2,3,0,2.0
10325,1,2,1,3,4.0
10328,2,6,6,0,4.0
10333,2,4,3,2,4.0
10343,1,2,1,1,4.0
10357,2,4,2,9,4.0
10387,18,26,19,18,3.89
11059,1,2,2,1,4.0
11067,1,2,2,0,4.0
11069,16,26,17,20,4.0
11076,1,1,2,0,4.0
11095,1,2,2,0,3.0
11116,1,2,3,0,2.0
11132,1,2,5,0,4.0
11202,1,1,3,1,2.0
11203,1,2,0,3,4.0
11220,1,1,1,0,3.0
11243,1,1,1,1,2.0
11262,4,4,7,1,3.75
11295,1,2,2,0,2.0
11322,1,2,3,0,3.0
11351,1,1,1,0,3.0
11381,1,1,1,0,3.0
11418,1,2,2,0,3.0
11426,1,2,2,0,4.0
12013,1,1,1,0,4.0
12145,2,3,3,3,4.0
12171,1,2,2,0,4.0
12202,1,1,4,0,4.0
12210,1,1,1,0,4.0
12288,1,2,2,0,3.0
13055,175,322,300,132,3.71
14040,1,2,2,0,3.0
14045,1,2,2,1,4.0
14047,2,4,2,2,4.0
14061,2,2,1,1,3.5
14066,1,1,1,0,3.0
14079,1,1,2,1,4.0
14101,1,2,2,0,4.0
14102,1,1,2,1,4.0
14117,1,1,0,1,4.0
14118,7,14,11,10,3.71
14137,4,6,4,3,3.5
14143,1,2,1,1,3.0
14174,1,1,1,0,3.0
14225,1,1,0,1,4.0
14250,1,1,0,1,3.0
14312,1,1,0,1,4.0
14327,3,6,4,4,3.67
14333,1,1,0,2,4.0
14362,1,1,0,1,3.0
14366,1,1,0,1,3.0
14394,1,1,3,1,4.0
14536,1,2,2,0,3.0
14543,1,2,2,0,4.0
14557,1,1,1,0,4.0
14578,1,2,0,2,3.0
14614,1,1,0,3,3.0
14645,1,1,1,0,3.0
14649,1,2,1,1,3.0
14689,1,3,2,1,4.0
14715,1,2,2,1,4.0
14726,1,1,1,0,4.0
15014,6,10,7,4,4.0
15040,1,2,2,3,3.0
15055,1,2,2,0,3.0
15120,1,1,2,0,3.0
16015,1,1,0,2,3.0
16028,1,1,1,1,3.0
16030,2,2,2,0,3.0
16102,3,7,5,3,3.67
16166,1,1,1,1,3.0
16167,1,2,2,0,4.0
16236,1,1,2,0,2.0
16303,1,2,2,1,3.0
16382,1,2,1,1,3.0
17003,1,2,2,0,4.0
17021,1,1,2,0,2.0
17024,1,1,1,0,3.0
17064,1,2,1,2,3.0
17079,1,1,2,0,4.0
17097,1,1,1,0,3.0
17113,1,1,1,0,3.0
17119,1,2,1,2,4.0
17121,1,2,2,0,2.0
17133,1,1,1,1,4.0
17185,2,3,2,1,3.5
17200,2,3,1,4,3.0
17211,2,2,0,2,3.5
17214,1,2,1,1,3.0
17218,1,2,1,1,2.0
17253,1,2,2,1,4.0
17291,1,3,2,1,4.0
17300,1,2,3,0,4.0
17306,1,2,1,1,4.0
17326,1,2,1,1,4.0
17333,1,2,2,1,4.0
17373,1,1,1,0,4.0
17389,1,1,1,0,3.0
17415,8,13,13,4,3.75
17420,1,2,2,0,3.0
17442,1,2,1,3,4.0
18011,1,2,3,0,4.0
18033,2,3,2,2,3.5
18054,1,5,4,2,4.0
18103,1,1,0,1,3.0
18141,1,2,4,0,4.0
18145,1,1,3,0,3.0
18148,1,1,1,1,3.0
18170,1,2,2,0,3.0
18172,1,1,1,0,3.0
18179,1,1,1,1,3.0
18183,1,1,1,0,3.0
18224,1,1,1,0,4.0
18229,1,1,1,0,2.0
18275,1,1,1,0,2.0
18279,1,1,1,1,3.0
19002,2,5,2,5,4.0
19031,10,14,14,5,3.4
19061,1,2,2,0,4.0
19083,1,1,2,0,4.0
19101,1,1,1,0,4.0
19146,2,4,4,2,4.0
19186,1,1,1,1,3.0
19272,1,2,1,2,4.0
19275,1,2,1,1,3.0
21003,1,2,1,1,3.0
21023,1,2,1,1,4.0
21038,1,1,0,1,3.0
21154,1,1,0,2,3.0
21263,1,1,1,1,3.0
21292,1,1,0,1,3.0
21331,1,1,1,0,4.0
21339,1,2,4,1,4.0
21390,1,1,0,5,4.0
21416,1,1,1,1,3.0
21420,1,2,4,0,4.0
21423,1,3,3,0,3.0
21425,1,2,0,3,4.0
21429,1,2,2,1,4.0
21498,1,2,2,2,4.0
21561,1,1,17,14,4.0
21572,1,1,2,0,4.0
21642,1,2,1,1,4.0
21652,1,1,1,0,4.0
22008,1,2,2,1,3.0
22011,1,1,1,1,3.0
22020,1,1,1,0,3.0
22029,1,2,2,0,3.0
22034,1,2,0,2,3.0
22050,1,1,0,2,3.0
22059,1,1,0,1,4.0
22070,2,3,6,0,3.5
22081,1,2,2,0,2.0
22093,1,2,2,0,3.0
22106,1,2,1,1,4.0
22113,6,8,5,6,4.0
22162,1,1,1,1,3.0
22187,4,6,6,5,3.5
22193,1,2,2,0,3.0
22194,1,1,0,1,3.0
22208,1,1,1,0,4.0
22215,1,1,1,0,3.0
22232,1,1,2,0,4.0
22251,1,1,1,1,3.0
22262,1,1,1,0,3.0
22265,1,1,1,1,3.0
22278,6,9,10,3,3.67
22307,1,2,2,0,3.0
22339,1,2,2,2,3.0
22360,1,2,2,1,4.0
22379,1,1,2,0,3.0
23030,1,2,1,2,3.0
23057,1,1,1,0,2.0
23096,1,2,1,0,4.0
23193,1,2,0,1,4.0
24019,1,1,1,0,3.0
24020,1,2,3,1,3.0
24026,1,2,1,2,4.0
24037,6,11,9,4,4.0
24053,1,1,3,0,4.0
24074,1,2,1,2,3.0
24098,1,2,1,1,3.0
24115,1,1,1,0,3.0
24145,1,1,2,0,2.0
24291,1,1,0,1,3.0
24376,1,1,0,1,3.0
25012,1,1,1,0,2.0
25047,1,1,1,1,4.0
25056,16,25,15,20,3.88
25063,1,1,1,2,3.0
25097,1,3,1,2,4.0
25170,1,1,1,0,3.0
25246,1,3,3,0,3.0
25278,1,2,2,0,3.0
25288,1,1,2,0,3.0
25367,1,1,2,0,3.0
25462,2,3,2,1,3.5
25466,1,2,2,0,2.0
25578,1,1,1,1,4.0
25605,1,2,1,2,4.0
25614,1,1,2,0,3.0
26004,1,1,1,0,4.0
26010,1,1,1,0,3.0
26052,1,1,6,0,4.0
26058,1,1,1,0,2.0
26084,1,2,2,1,4.0
26114,1,2,1,1,3.0
26139,1,1,1,0,2.0
26165,1,1,2,0,3.0
26167,1,1,2,1,3.0
26198,4,6,2,6,3.75
26318,1,3,3,0,4.0
26324,1,3,5,2,4.0
26339,1,2,2,2,4.0
26345,1,2,3,1,4.0
26353,1,2,3,1,4.0
26362,2,5,3,3,3.5
27070,1,2,1,1,3.0
27103,1,2,1,1,3.0
27198,1,2,2,0,2.0
27210,1,2,3,1,4.0
27229,16,29,16,22,3.94
27243,1,2,1,1,3.0
27271,1,5,7,0,2.0
27279,1,1,1,1,3.0
27375,2,3,0,3,4.0
27377,1,2,2,0,4.0
27385,1,3,0,4,4.0
27562,1,3,1,2,4.0
27601,1,1,1,1,3.0
27611,1,3,2,1,3.0
27622,1,1,1,1,4.0
27638,1,3,3,0,3.0
27681,3,4,4,3,4.0
27697,1,2,4,0,4.0
27701,1,1,1,1,4.0
28028,1,2,1,1,3.0
28035,1,2,2,0,3.0
28085,1,2,2,0,3.0
28088,2,6,3,3,2.5
28089,1,1,0,2,4.0
28121,1,1,1,0,3.0
28134,7,9,13,9,3.71
28135,1,2,1,1,4.0
28140,1,1,1,1,4.0
28168,1,1,1,0,3.0
28173,1,1,2,1,3.0
28209,1,2,2,0,3.0
28218,1,1,2,0,3.0
28280,1,2,1,1,4.0
28298,1,1,0,1,4.0
28319,1,1,2,1,2.0
28332,1,2,1,1,4.0
28352,1,1,1,0,2.0
28378,1,1,2,0,2.0
28391,1,2,2,0,3.0
28398,1,1,1,1,4.0
28404,3,6,5,4,4.0
28405,1,2,1,1,4.0
29004,1,1,2,0,3.0
29005,1,1,1,2,3.0
29015,1,1,1,1,3.0
29019,15,24,19,10,3.8
29031,1,3,3,0,4.0
29039,2,2,2,1,3.0
29042,1,2,2,0,4.0
29046,1,1,1,0,3.0
29051,4,7,7,2,4.0
