com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
01014,2,4,2,3,4.0
01033,1,1,1,1,3.0
01049,1,2,2,0,4.0
01074,1,2,0,3,4.0
01173,1,1,2,1,4.0
01181,1,2,1,1,4.0
01185,1,2,2,0,3.0
01196,2,3,3,4,3.5
01225,1,2,3,0,4.0
01248,1,2,2,0,4.0
01258,1,2,1,3,3.0
01331,1,1,1,0,3.0
01344,1,2,1,1,4.0
01427,1,1,1,1,4.0
01451,2,2,4,0,4.0
02059,1,2,1,1,4.0
02126,1,1,0,2,3.0
02280,1,2,4,2,4.0
02359,1,4,2,2,3.0
02381,1,2,4,0,3.0
02405,1,1,1,0,4.0
02408,2,4,5,3,4.0
02420,1,1,1,0,3.0
02443,2,4,6,6,3.5
02722,1,1,2,0,2.0
02738,2,3,2,2,4.0
02785,1,1,5,0,4.0
02827,1,2,1,1,3.0
03026,1,1,1,0,3.0
03075,1,1,0,1,3.0
03095,1,2,0,3,3.0
03101,1,2,1,1,4.0
03223,1,2,2,0,3.0
03226,1,1,1,0,4.0
03280,1,2,1,1,4.0
03314,1,2,1,1,4.0
03321,1,1,1,0,3.0
04033,2,3,3,0,3.0
04112,3,4,2,2,3.33
04116,2,3,2,1,3.5
04137,1,1,4,0,3.0
04163,1,2,0,4,4.0
04245,1,2,2,1,3.0
05006,1,1,3,0,4.0
05046,1,1,2,0,4.0
05052,1,1,1,1,4.0
05061,6,11,9,5,3.83
05119,1,2,1,1,3.0
05140,1,2,3,1,4.0
05159,1,1,1,0,3.0
05170,1,1,1,1,3.0
06004,3,6,5,1,3.0
06018,1,2,2,0,4.0
06023,1,1,1,0,3.0
06027,3,5,4,6,4.0
06029,6,10,7,6,3.83
06030,2,4,5,1,4.0
06031,1,1,1,0,4.0
06057,1,1,1,0,3.0
06059,2,4,5,0,3.0
06069,10,18,10,9,3.9
06077,1,1,0,1,4.0
06078,1,1,1,0,4.0
06079,1,1,2,0,3.0
06083,3,5,4,1,3.33
06085,1,1,2,0,3.0
06088,16,27,25,15,3.38
06091,1,2,2,0,3.0
06092,1,2,3,1,4.0
06095,1,2,2,0,4.0
06105,1,2,2,0,3.0
06109,1,1,1,0,2.0
06123,1,2,2,0,4.0
06127,1,2,2,0,4.0
06128,1,2,1,1,3.0
06132,1,2,1,1,4.0
06146,1,3,2,2,4.0
06149,1,1,1,0,4.0
06151,1,2,3,0,3.0
06157,1,1,1,1,3.0
06159,1,2,1,2,4.0
07010,1,1,0,2,3.0
07019,1,2,2,1,4.0
07042,1,1,1,0,4.0
07102,1,2,2,0,4.0
07122,1,2,2,0,3.0
07153,1,1,1,0,3.0
07166,1,1,2,0,3.0
07169,1,2,2,0,3.0
07214,1,2,1,2,4.0
07238,1,1,0,1,3.0
07272,1,2,1,1,3.0
07281,1,2,1,1,4.0
07288,1,2,3,0,2.0
07302,1,2,1,1,3.0
07316,1,1,1,0,4.0
07324,2,3,2,2,3.0
08105,2,3,3,1,3.5
08185,1,2,2,1,4.0
08314,1,1,2,0,4.0
09070,1,3,3,4,4.0
09122,3,3,5,0,4.0
09207,1,1,1,3,3.0
09261,1,2,1,1,4.0
09264,1,1,1,0,4.0
10003,1,3,3,2,4.0
10035,1,1,1,0,3.0
10060,2,5,5,1,4.0
10067,1,4,1,3,4.0
10081,2,4,3,7,4.0
10220,1,2,2,0,4.0
10297,1,1,2,0,4.0
10321,1,1,2,0,4.0
10323,1,3,3,0,4.0
10357,2,4,6,1,3.5
10362,4,7,6,3,4.0
10387,15,25,19,12,3.93
10401,1,2,2,0,4.0
10419,1,1,2,0,4.0
11009,1,2,2,0,2.0
11024,1,2,2,0,3.0
11067,1,5,3,8,4.0
11069,12,20,13,15,3.75
11076,1,2,2,0,3.0
11099,1,2,2,0,3.0
11104,1,1,1,0,3.0
11172,1,3,1,3,4.0
11254,1,1,1,0,2.0
11255,1,2,3,1,4.0
11262,7,8,9,6,3.57
11291,1,1,1,0,2.0
11397,1,1,1,0,3.0
12084,1,2,2,1,4.0
12096,1,1,2,0,3.0
12115,1,1,2,0,3.0
12154,1,2,2,0,4.0
12169,1,2,3,0,3.0
12174,1,1,2,0,3.0
12215,2,4,4,1,4.0
12254,1,1,1,0,4.0
12288,1,1,3,3,4.0
13055,175,307,270,110,3.79
14035,1,1,1,1,3.0
14055,1,1,1,0,3.0
14060,1,2,2,0,4.0
14098,1,2,0,2,3.0
14118,2,2,4,1,3.5
14119,3,6,5,2,3.67
14137,1,2,2,0,3.0
14143,1,2,2,0,3.0
14162,1,1,1,0,2.0
14191,1,1,2,1,4.0
14220,2,3,2,1,3.5
14249,1,1,2,1,2.0
14269,1,3,1,3,4.0
14290,1,1,1,0,4.0
14299,1,2,2,1,3.0
14371,2,2,3,1,3.5
14424,1,3,2,2,2.0
14431,2,3,2,1,3.5
14437,1,3,1,2,3.0
14453,1,2,2,0,3.0
14475,1,1,1,0,3.0
14488,1,2,2,0,4.0
14499,1,3,1,2,3.0
14520,1,1,1,0,4.0
14536,1,2,2,0,4.0
14649,1,2,3,0,4.0
14715,2,3,2,2,4.0
14738,1,2,0,2,3.0
15012,1,2,1,1,3.0
15014,3,4,6,1,3.67
15138,1,1,1,0,3.0
15157,1,2,1,1,3.0
16028,1,2,2,0,4.0
16075,1,1,0,1,3.0
16089,1,2,2,0,4.0
16102,1,1,2,0,3.0
16175,1,1,1,0,3.0
16292,1,1,1,1,4.0
17003,1,2,2,2,4.0
17022,1,2,9,12,3.0
17133,1,1,1,0,2.0
17136,1,1,1,0,3.0
17200,1,2,2,0,4.0
17210,1,3,9,0,4.0
17218,1,1,1,1,3.0
17300,4,6,1,5,4.0
17306,6,7,3,7,4.0
17310,1,1,0,1,2.0
17330,1,2,1,1,4.0
17332,1,1,1,0,3.0
17347,1,1,1,1,3.0
17415,7,12,6,10,3.71
17452,1,2,1,1,3.0
17461,2,5,3,2,4.0
17465,2,2,5,1,3.5
17476,1,3,1,2,3.0
18019,1,1,1,0,2.0
18032,1,1,1,0,3.0
18033,4,6,5,2,3.5
18050,1,1,0,2,4.0
18167,1,1,1,1,3.0
18175,1,1,1,1,3.0
18205,1,2,2,0,3.0
18242,1,2,2,0,3.0
18255,1,2,2,1,4.0
18279,1,1,0,1,4.0
19031,7,12,10,4,3.86
19036,1,1,1,0,2.0
19041,1,2,1,1,3.0
19061,1,1,1,0,3.0
19121,1,1,1,0,3.0
19124,1,3,2,1,3.0
19138,1,1,1,3,4.0
19272,2,2,1,1,3.5
19274,2,3,2,1,3.5
21021,1,1,1,0,3.0
21038,1,3,3,0,3.0
21054,4,8,6,7,3.5
21154,1,1,0,2,4.0
21231,3,4,3,4,3.33
21244,1,1,2,0,4.0
21247,1,1,1,0,4.0
21292,1,2,2,1,3.0
21388,1,1,0,2,4.0
21414,1,4,2,3,4.0
21502,1,1,0,1,3.0
21515,1,1,2,0,4.0
21520,1,1,1,0,3.0
21576,1,2,3,0,4.0
21638,1,2,0,2,4.0
22020,1,2,3,3,4.0
22026,1,2,2,0,4.0
22030,1,3,2,1,4.0
22086,1,2,2,2,4.0
22093,2,4,4,0,3.5
22106,2,4,2,2,4.0
22107,1,1,1,0,3.0
22113,3,4,2,3,3.67
22158,1,2,2,0,4.0
22162,1,1,1,0,3.0
22166,1,1,1,0,3.0
22168,1,1,2,0,3.0
22172,1,2,2,0,3.0
22176,1,2,3,1,4.0
22187,3,6,3,3,4.0
22206,1,4,4,0,3.0
22210,1,1,1,0,4.0
22213,1,2,3,0,4.0
22215,2,4,1,5,4.0
22232,1,2,2,0,3.0
22277,1,2,2,0,3.0
22278,9,13,15,6,3.44
22282,1,1,1,1,4.0
22339,1,2,1,1,4.0
22360,2,3,2,1,3.0
22372,1,2,2,0,3.0
22375,1,3,2,2,3.0
24034,1,2,1,1,4.0
24064,1,2,2,0,4.0
