com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes
01024,1,1,0,0
01038,1,1,0,0
01053,2,3,0,0
01089,1,1,0,0
01098,1,2,0,0
01138,2,4,0,0
01143,1,1,0,0
01157,1,4,0,0
01187,1,2,0,0
01211,2,3,0,0
01240,1,1,0,0
01249,1,2,0,0
01263,1,1,0,0
01266,1,1,0,0
01267,1,2,0,0
01274,1,1,0,0
01275,1,1,0,0
01276,2,5,0,0
01328,1,2,0,0
01344,1,1,0,0
01348,1,2,0,0
01388,1,1,0,0
01416,1,2,0,0
01419,1,2,0,0
01451,2,4,0,0
01454,1,2,0,0
02004,1,1,0,0
02095,2,4,0,0
02135,1,2,0,0
02173,1,1,0,0
02292,1,1,0,0
02294,1,2,0,0
02305,1,1,0,0
02401,1,2,0,0
02408,2,4,0,0
02468,2,4,0,0
02543,1,1,0,0
02548,1,1,0,0
02564,1,1,0,0
02569,1,2,0,0
02575,1,1,0,0
02610,1,3,0,0
02738,1,2,0,0
02792,1,2,0,0
02810,1,1,0,0
02815,1,1,0,0
02820,1,2,0,0
03052,1,2,0,0
03056,1,1,0,0
03060,1,1,0,0
03072,1,2,0,0
03101,1,1,0,0
03102,1,2,0,0
03104,1,2,0,0
03108,1,1,0,0
03138,1,1,0,0
03139,1,1,0,0
03143,1,1,0,0
03165,1,2,0,0
03179,1,2,0,0
03185,3,6,0,0
03193,1,2,0,0
03203,1,1,0,0
03221,1,2,0,0
03236,1,2,0,0
03254,1,1,0,0
03258,1,2,0,0
03276,1,1,0,0
03277,1,1,0,0
03285,1,2,0,0
04039,1,2,0,0
04062,1,1,0,0
04063,1,2,0,0
04070,2,3,0,0
04076,1,2,0,0
04088,1,2,0,0
04094,1,2,0,0
04096,2,2,0,0
04112,3,5,0,0
04120,1,2,0,0
04124,1,2,0,0
04143,1,1,0,0
04149,1,2,0,0
04173,1,1,0,0
04195,1,2,0,0
04205,1,1,0,0
05004,1,1,0,0
05007,1,2,0,0
05011,1,1,0,0
05023,1,2,0,0
05027,2,2,0,0
05029,1,2,0,0
05039,1,2,0,0
05046,1,2,0,0
05058,1,2,0,0
05061,7,14,0,0
05063,1,1,0,0
05070,1,2,0,0
05073,1,2,0,0
05077,1,2,0,0
05079,1,1,0,0
05081,1,1,0,0
05098,1,2,0,0
05124,1,2,0,0
05126,1,1,0,0
05132,2,2,0,0
05149,1,1,0,0
05153,1,1,0,0
06004,3,5,0,0
06016,1,1,0,0
06018,1,2,0,0
06019,1,2,0,0
06027,4,5,0,0
06029,2,2,0,0
06033,1,3,0,0
06035,1,1,0,0
06042,1,2,0,0
06044,1,1,0,0
06048,2,3,0,0
06053,1,2,0,0
06056,1,1,0,0
06059,3,5,0,0
06069,14,22,0,0
06071,2,2,0,0
06073,2,2,0,0
06083,1,2,0,0
06085,2,3,0,0
06088,15,24,0,0
06089,1,2,0,0
06091,1,1,0,0
06095,1,1,0,0
06099,3,4,0,0
06101,1,1,0,0
06104,1,3,0,0
06108,1,2,0,0
06109,1,2,0,0
06119,1,1,0,0
06123,4,6,0,0
06128,1,1,0,0
06130,1,1,0,0
06136,1,1,0,0
06138,1,2,0,0
06141,1,1,0,0
06146,2,3,0,0
06148,2,3,0,0
06149,2,5,0,0
06155,1,2,0,0
06161,5,9,0,0
07009,1,2,0,0
07010,1,2,0,0
07017,1,1,0,0
07026,1,1,0,0
07039,1,1,0,0
07050,2,3,0,0
07070,2,4,0,0
07097,1,2,0,0
07101,1,1,0,0
07102,1,1,0,0
07127,2,2,0,0
07155,1,2,0,0
07162,1,1,0,0
07190,1,2,0,0
07204,1,1,0,0
07269,1,2,0,0
07281,6,11,0,0
07288,1,3,0,0
07296,1,1,0,0
07316,2,4,0,0
08105,1,2,0,0
08116,1,2,0,0
08222,1,2,0,0
08250,1,1,0,0
08328,1,2,0,0
08349,1,2,0,0
08430,1,2,0,0
08435,1,2,0,0
08480,1,4,0,0
09120,1,1,0,0
09122,3,8,0,0
09130,1,2,0,0
09190,1,2,0,0
09225,2,3,0,0
09241,1,1,0,0
09267,1,1,0,0
09282,1,2,0,0
09296,1,2,0,0
09327,1,1,0,0
10006,1,2,0,0
10060,1,1,0,0
10081,1,2,0,0
10191,1,2,0,0
10213,1,2,0,0
10216,1,2,0,0
10259,2,4,0,0
10265,1,1,0,0
10268,1,2,0,0
10314,1,1,0,0
10323,1,2,0,0
10325,1,2,0,0
10332,1,1,0,0
10333,4,8,0,0
10357,1,2,0,0
10363,1,2,0,0
10375,1,3,0,0
10379,1,1,0,0
10387,11,17,0,0
10401,1,2,0,0
11014,1,2,0,0
11020,1,1,0,0
11048,1,2,0,0
11069,12,21,0,0
11086,1,2,0,0
11090,1,1,0,0
11098,2,3,0,0
11111,1,2,0,0
11116,1,1,0,0
11145,2,2,0,0
11165,1,1,0,0
11170,1,2,0,0
11194,1,1,0,0
11203,1,2,0,0
11262,8,14,0,0
11302,1,1,0,0
11361,1,3,0,0
11367,1,1,0,0
11392,1,2,0,0
11433,1,2,0,0
11441,1,1,0,0
12021,1,1,0,0
12028,1,2,0,0
12031,1,1,0,0
12054,1,1,0,0
12102,2,3,0,0
12103,1,1,0,0
12109,1,1,0,0
12131,1,2,0,0
12133,1,1,0,0
12145,1,2,0,0
12169,1,2,0,0
12202,2,3,0,0
12203,1,1,0,0
12208,1,1,0,0
12231,1,2,0,0
12270,3,4,0,0
12287,1,2,0,0
12300,1,1,0,0
13055,179,331,0,0
14047,2,3,0,0
14079,1,2,0,0
14101,2,6,0,0
14118,8,14,0,0
14167,1,2,0,0
14174,1,2,0,0
14214,1,1,0,0
14220,1,1,0,0
14228,1,2,0,0
14258,1,2,0,0
14366,1,2,0,0
14369,1,2,0,0
14371,2,4,0,0
14384,1,1,0,0
14397,1,2,0,0
14431,1,1,0,0
14437,2,3,0,0
14473,1,1,0,0
14494,2,3,0,0
14520,1,1,0,0
14530,1,2,0,0
14570,1,2,0,0
14654,1,2,0,0
14663,1,2,0,0
14685,1,2,0,0
14699,1,2,0,0
14712,2,2,0,0
14726,2,4,0,0
14762,1,2,0,0
15012,5,10,0,0
15014,3,6,0,0
15048,1,1,0,0
15051,1,1,0,0
15124,1,2,0,0
15140,1,2,0,0
15142,1,2,0,0
15162,1,1,0,0
15163,1,2,0,0
15187,1,1,0,0
15188,1,1,0,0
15221,1,1,0,0
16001,1,2,0,0
16016,1,2,0,0
16030,1,2,0,0
16070,1,1,0,0
16078,1,1,0,0
16102,2,3,0,0
16106,1,2,0,0
16136,1,1,0,0
16204,1,2,0,0
16264,1,2,0,0
16280,1,2,0,0
16282,1,1,0,0
16312,1,1,0,0
16382,1,1,0,0
16425,1,1,0,0
17028,1,1,0,0
17085,1,1,0,0
17089,1,2,0,0
17093,1,2,0,0
17094,1,1,0,0
17121,1,3,0,0
17131,1,3,0,0
17161,1,1,0,0
17184,1,2,0,0
17200,1,1,0,0
17207,1,2,0,0
17219,1,1,0,0
17225,2,4,0,0
17241,1,3,0,0
17278,1,2,0,0
17291,1,2,0,0
17299,1,2,0,0
17300,3,3,0,0
17304,1,2,0,0
17306,6,13,0,0
17307,1,2,0,0
17360,1,3,0,0
17380,1,1,0,0
17385,2,4,0,0
17415,6,11,0,0
17458,1,1,0,0
17460,1,2,0,0
17461,1,1,0,0
17482,2,4,0,0
18011,1,1,0,0
18015,1,1,0,0
18029,1,2,0,0
18033,4,6,0,0
18035,1,2,0,0
18063,1,2,0,0
18143,1,1,0,0
18197,1,2,0,0
18210,1,1,0,0
18235,1,2,0,0
18241,1,2,0,0
18259,1,1,0,0
18269,1,2,0,0
18279,1,1,0,0
18285,1,2,0,0
19012,1,2,0,0
19031,5,7,0,0
19043,1,1,0,0
19063,1,2,0,0
19101,1,2,0,0
19105,1,2,0,0
19108,1,1,0,0
19123,1,2,0,0
19134,1,1,0,0
19136,1,2,0,0
19146,1,1,0,0
19229,1,2,0,0
19234,1,2,0,0
19246,1,2,0,0
19248,1,2,0,0
19274,1,1,0,0
19275,2,2,0,0
21002,1,4,0,0
21054,1,2,0,0
21092,1,2,0,0
21106,1,2,0,0
21138,1,2,0,0
21197,1,2,0,0
21205,1,1,0,0
21244,1,3,0,0
21251,1,1,0,0
21316,1,1,0,0
21317,1,2,0,0
21332,1,1,0,0
21352,1,1,0,0
21358,1,2,0,0
21405,1,3,0,0
21416,1,1,0,0
21418,1,1,0,0
21423,1,3,0,0
21445,1,3,0,0
21449,1,2,0,0
21599,1,1,0,0
21642,1,1,0,0
21665,1,2,0,0
22004,1,1,0,0
22020,1,2,0,0
