com_insee,nbr_accidents,nbr_vehicules,nb_hommes,nb_femmes,grav_moyenne
01015,1,2,1,2,3.0
01067,1,2,2,1,4.0
01089,1,3,2,1,4.0
01093,1,2,2,1,4.0
01105,1,2,2,0,3.0
01109,2,4,6,1,3.5
01138,2,3,2,1,3.0
01142,1,2,1,1,4.0
01159,1,1,1,0,3.0
01160,1,2,1,1,3.0
01185,1,1,3,0,2.0
01188,1,1,3,0,4.0
01213,1,6,6,7,4.0
01224,1,1,1,0,3.0
01228,1,1,1,1,4.0
01229,1,1,1,0,4.0
01244,1,2,1,2,3.0
01246,1,3,3,2,3.0
01269,1,1,1,0,4.0
01281,1,2,2,0,4.0
01283,1,2,1,1,3.0
01303,1,2,2,0,3.0
01313,1,2,1,1,3.0
01314,1,1,0,1,4.0
01325,1,2,2,1,4.0
01342,1,1,0,1,3.0
01373,1,1,0,2,3.0
01388,1,2,1,3,4.0
01419,1,1,1,0,3.0
01443,1,2,2,0,4.0
01444,1,1,1,0,3.0
01447,1,1,1,0,2.0
01451,2,4,4,2,3.0
01457,1,1,0,1,4.0
02027,1,2,2,0,4.0
02126,1,1,3,2,4.0
02146,1,2,1,1,4.0
02168,1,2,1,1,3.0
02279,1,1,0,1,4.0
02309,1,3,3,0,4.0
02319,1,1,0,1,3.0
02358,1,1,1,0,3.0
02359,1,2,2,0,3.0
02361,1,2,2,0,4.0
02381,1,2,0,2,4.0
02408,3,4,5,3,3.67
02455,1,1,1,0,4.0
02474,1,1,1,0,4.0
02527,1,1,1,0,3.0
02556,1,1,1,0,3.0
02559,1,2,3,1,4.0
02586,1,1,1,0,3.0
02596,1,2,1,1,4.0
02607,1,2,2,0,4.0
02722,1,1,2,0,3.0
03006,1,2,2,0,3.0
03040,1,4,3,2,4.0
03082,1,1,1,1,4.0
03089,1,1,1,0,3.0
03093,1,2,4,0,3.0
03104,1,2,1,1,3.0
03118,1,1,0,1,3.0
03185,4,6,6,3,3.5
03187,1,1,1,0,3.0
03190,1,1,2,0,3.0
03201,1,1,0,1,3.0
03220,1,1,2,0,3.0
03264,1,1,1,1,4.0
03298,1,2,2,0,3.0
03315,1,1,1,0,3.0
03321,1,1,1,0,4.0
04039,1,1,1,0,3.0
04045,1,2,1,1,4.0
04070,3,5,3,2,3.67
04110,1,1,2,0,3.0
04112,1,1,0,1,4.0
04113,1,1,1,0,3.0
04140,1,1,1,0,3.0
04143,1,1,0,1,3.0
04166,1,2,2,0,3.0
04178,1,2,2,0,4.0
04209,1,1,1,0,3.0
04219,1,1,0,2,3.0
04226,1,1,1,0,3.0
04230,1,2,2,0,4.0
05006,1,2,2,0,3.0
05023,1,1,1,0,4.0
05045,1,2,5,0,2.0
05046,1,2,1,2,4.0
05053,1,1,0,1,4.0
05061,4,8,8,1,3.5
05063,1,1,1,1,4.0
05085,1,1,1,0,4.0
05096,1,2,1,2,4.0
05103,1,1,0,2,4.0
05114,1,3,3,1,3.0
05116,1,2,2,1,4.0
05118,1,1,0,1,4.0
05122,1,2,3,2,3.0
05139,1,2,2,1,2.0
05177,2,3,2,1,3.0
06004,6,9,8,5,3.17
06018,1,1,2,0,3.0
06027,3,4,3,2,2.33
06029,2,3,2,2,3.0
06030,2,3,2,3,4.0
06046,1,2,2,0,4.0
06058,1,1,1,0,3.0
06059,1,1,1,0,3.0
06068,1,1,2,0,4.0
06069,12,19,13,9,4.0
06070,1,1,1,0,2.0
06072,1,1,1,1,3.0
06079,1,1,0,1,4.0
06083,2,2,1,4,3.5
06086,1,1,1,1,3.0
06088,16,28,43,19,3.5
06104,1,1,1,1,3.0
06105,1,2,2,3,4.0
06118,1,2,1,1,3.0
06123,4,8,6,3,3.5
06134,1,1,1,1,4.0
06136,1,1,1,0,3.0
06149,3,8,13,0,3.0
06152,3,6,5,1,3.67
06155,3,4,3,1,2.67
06157,1,2,2,0,4.0
06159,3,4,3,3,3.0
06161,1,1,1,0,3.0
06162,1,2,2,0,4.0
07019,4,7,9,3,4.0
07026,1,1,0,1,4.0
07039,1,1,1,0,3.0
07053,1,2,2,0,4.0
07071,1,2,2,1,4.0
07096,1,2,1,1,4.0
07102,1,1,2,0,4.0
07119,1,1,1,1,4.0
07122,1,1,1,0,3.0
07145,1,2,0,2,3.0
07156,2,2,2,3,3.5
07186,1,1,1,0,3.0
07191,1,1,1,1,4.0
07201,1,2,2,1,3.0
07258,1,1,1,0,3.0
07259,1,2,0,3,4.0
07261,1,1,1,0,3.0
07262,1,1,1,0,2.0
07281,5,8,6,2,4.0
07296,1,1,1,0,3.0
07301,1,1,2,0,4.0
07324,2,3,0,2,3.5
07337,1,1,1,0,3.0
08102,1,1,1,0,3.0
08136,1,1,1,0,4.0
08185,1,2,1,2,4.0
08218,1,2,1,1,3.0
08272,1,1,1,0,2.0
08283,1,2,2,0,4.0
08487,1,2,2,0,3.0
09032,1,2,4,3,4.0
09122,1,1,0,1,4.0
09189,1,2,2,0,2.0
09207,1,2,2,0,3.0
09225,2,3,2,2,4.0
09283,1,3,3,2,4.0
09285,1,1,1,1,3.0
09324,1,2,2,0,4.0
10030,1,1,1,1,4.0
10055,1,2,2,2,4.0
10060,1,1,0,1,4.0
10081,4,7,7,3,3.75
10084,1,1,1,0,3.0
10114,1,1,1,1,3.0
10141,1,1,1,0,3.0
10193,1,1,2,1,4.0
10238,1,1,1,0,2.0
10240,1,1,1,2,4.0
10287,1,1,1,0,3.0
10297,1,2,0,2,4.0
10321,1,2,1,1,4.0
10333,4,8,4,4,3.75
10350,1,1,1,1,4.0
10362,1,2,3,0,4.0
10372,1,1,1,0,3.0
10380,1,2,1,3,4.0
10387,5,8,4,3,3.8
10412,1,2,1,1,4.0
10432,1,1,1,1,4.0
11008,1,1,1,0,3.0
11068,1,2,4,0,4.0
11069,9,13,7,7,3.89
11115,1,3,2,1,3.0
11124,1,1,1,0,3.0
11165,1,1,1,0,3.0
11202,1,2,3,2,4.0
11203,1,2,2,0,3.0
11262,9,17,19,10,3.33
11276,1,1,0,1,3.0
11360,1,2,2,3,4.0
11361,1,1,0,2,3.0
11410,1,1,1,0,3.0
12006,1,2,2,0,4.0
12013,1,2,2,1,3.0
12021,1,2,1,1,4.0
12043,1,2,1,1,3.0
12057,1,1,1,0,3.0
12066,1,1,2,0,4.0
12069,1,2,2,0,3.0
12073,1,1,1,0,3.0
12083,1,2,0,2,4.0
12084,1,2,3,0,4.0
12089,2,3,1,2,3.5
12103,1,3,3,2,3.0
12133,1,2,3,3,4.0
12145,1,2,2,1,4.0
12160,1,2,1,1,3.0
12171,1,2,4,2,4.0
12185,1,1,0,1,4.0
12208,1,2,1,4,4.0
12215,2,4,5,3,3.5
12216,1,1,0,1,3.0
12220,1,2,4,1,3.0
12244,1,2,1,1,4.0
12291,1,1,2,4,4.0
12299,1,1,1,1,4.0
13055,166,299,253,131,3.67
14005,1,1,1,0,3.0
14026,1,1,0,1,4.0
14041,1,3,3,0,3.0
14047,2,4,2,2,4.0
14059,1,2,0,2,4.0
14066,1,1,1,0,2.0
14069,1,2,1,2,4.0
14092,1,1,1,1,4.0
14117,1,2,1,1,4.0
14118,2,3,5,0,3.0
14145,1,2,2,0,2.0
14162,1,1,2,0,3.0
14218,1,2,1,1,3.0
14220,1,2,2,0,4.0
14225,1,2,2,0,4.0
14287,1,2,2,0,4.0
14302,1,2,0,2,4.0
14312,1,1,1,1,3.0
14333,3,4,3,1,4.0
14366,1,1,1,1,4.0
14396,1,2,2,1,3.0
14409,1,1,0,1,3.0
14437,2,4,2,2,3.0
14465,1,2,2,0,2.0
14474,1,1,1,0,3.0
14487,2,4,2,3,4.0
14514,1,2,2,1,4.0
14536,1,2,2,0,4.0
14578,1,1,1,0,3.0
14603,1,2,1,1,4.0
14644,1,2,2,0,3.0
14658,1,2,2,1,3.0
14678,1,2,2,0,4.0
14715,2,3,2,2,3.5
14720,1,2,2,1,4.0
14724,1,2,2,0,4.0
14726,1,1,1,0,3.0
15003,1,1,1,1,3.0
15012,2,2,2,0,4.0
15014,5,7,5,2,3.8
15028,1,2,2,0,4.0
15061,1,1,0,1,3.0
15066,1,2,2,0,3.0
15092,2,2,1,1,3.5
15101,1,3,3,1,3.0
15119,2,2,1,1,3.5
15120,1,1,1,2,4.0
15130,1,2,2,0,4.0
15187,1,2,0,2,4.0
15192,1,2,1,3,4.0
15236,1,2,1,3,4.0
15251,1,1,0,1,4.0
15267,1,2,2,0,3.0
16015,1,1,2,0,3.0
16023,1,1,1,0,2.0
16044,1,3,4,0,3.0
16056,1,1,1,0,3.0
16065,1,1,1,0,3.0
16066,1,1,1,1,3.0
16090,1,1,1,0,2.0
16120,1,1,1,0,3.0
16166,1,1,2,0,3.0
16190,1,2,1,1,4.0
16205,1,2,2,1,4.0
16280,1,1,1,0,3.0
16286,1,1,1,0,3.0
16362,1,1,1,0,4.0
16374,1,2,1,1,4.0
17028,2,3,4,0,3.5
17045,1,3,4,0,3.0
17058,1,2,1,1,2.0
17064,1,4,1,5,4.0
17086,1,2,2,1,4.0
17140,1,2,5,2,3.0
17150,1,2,1,1,3.0
17152,1,2,1,1,3.0
17218,1,2,1,1,2.0
17225,1,1,2,0,4.0
17226,1,2,3,3,4.0
17240,1,2,2,0,2.0
17261,1,1,1,0,2.0
17299,1,2,0,2,4.0
17300,1,1,2,0,3.0
17306,5,9,7,5,3.8
17333,2,5,1,4,4.0
17379,1,1,1,1,4.0
17410,2,4,5,0,3.5
17415,6,11,9,4,3.5
17443,1,2,2,1,3.0
17452,2,4,3,1,3.5
17466,1,2,1,1,3.0
17486,1,2,1,1,3.0
18031,1,2,2,0,2.0
18033,2,3,3,1,3.5
18075,1,1,2,0,3.0
18092,1,1,4,1,4.0
18096,1,1,2,0,4.0
18132,1,1,2,0,4.0
18148,2,4,4,4,3.5
18203,1,1,1,1,3.0
18213,1,1,1,0,4.0
18278,1,2,2,0,4.0
18279,2,6,6,4,4.0
19025,1,2,2,0,3.0
19031,2,4,1,3,4.0
19035,1,1,1,0,3.0
19049,1,2,2,1,4.0
19098,1,1,1,0,3.0
19170,1,1,2,0,4.0
19181,1,1,6,3,4.0
19269,1,1,1,0,3.0
19273,1,1,0,1,3.0
19275,2,3,4,2,3.5
19289,1,1,1,0,3.0
21038,1,2,2,0,4.0
21087,2,4,6,5,3.5
21100,1,2,1,1,4.0
21171,1,2,0,1,3.0
21177,1,2,2,2,4.0
21192,1,1,1,0,3.0
21231,2,4,5,0,3.5
21244,1,1,1,1,4.0
21247,2,2,4,1,3.5
21261,1,1,3,1,4.0
21284,1,2,2,2,4.0
21412,1,2,1,0,4.0
21414,1,1,1,0,3.0
21580,1,1,1,1,3.0
21584,1,2,1,3,4.0
21663,1,2,1,1,4.0
21676,2,3,4,3,3.0
21695,1,1,1,0,2.0
22015,1,2,2,0,4.0
22020,1,1,1,0,3.0
22025,1,2,2,1,4.0
22026,1,1,0,1,3.0
22034,1,2,2,0,3.0
22046,1,1,2,0,4.0
22048,1,1,2,2,3.0
22054,1,2,0,2,4.0
22067,1,1,0,2,3.0
22070,1,2,2,0,3.0
22081,1,2,1,1,3.0
22084,1,1,1,0,2.0
22093,2,3,2,3,3.5
22106,1,1,1,1,4.0
22113,5,6,5,2,3.4
22147,1,2,1,1,2.0
22152,1,1,1,0,3.0
22158,1,2,2,0,3.0
22175,1,1,1,1,4.0
22176,3,4,3,1,3.33
22186,1,2,1,1,3.0
22187,2,5,4,4,3.0
22189,1,1,1,0,3.0
22197,1,1,1,0,3.0
22214,1,2,2,0,4.0
22215,1,2,2,0,4.0
22225,1,1,1,1,3.0
22228,1,1,2,2,4.0
22232,1,1,2,1,4.0
22243,1,2,1,1,2.0
22258,1,2,1,1,4.0
22261,1,1,1,0,3.0
22266,1,2,5,2,3.0
22277,1,2,2,2,3.0
22278,3,5,3,2,4.0
22349,1,2,3,0,4.0
22361,1,1,1,3,3.0
